V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
Cor_TureIDA_EstIDA_Pearson,Cor_TureIDA_EstIDA_Pearson_pvalue,Cor_TureIDA_EstIDA_Pearson_pvalue_iterate,Cor_TureJointIDA_EstJointIDA_Pearson,Cor_TureJointIDA_EstJointIDA_Pearson_pvalue,Cor_TureJointIDA_EstJointIDA_Pearson_pvalue_iterate,RMSE_TrueIDA_EstIDA,RMSE_TrueIDA_EstIDA_pvalue,RMSE_TrueIDA_EstIDA_pvalue_iterate,RMSE_TrueJointIDA_EstJointIDA,RMSE_TrueJointIDA_EstJointIDA_pvalue,RMSE_TrueJointIDA_EstJointIDA_pvalue_iterate
0.248491851358755,0.279803057758642,0.813830815011003,0.283625290495874,0.196796914960425,0.715357841690909,2.00035106511775,1.83559753838913,0.689315736430095,1.31406593452743,1.60995691490283,0.633848488446071
